product_id,product_name,group,subgroup,brand,price,currency,discount_percentage,date
297,Miel de flores Mielove frasco 1 kg,azucar chocolates y caramelos,miel,Mielove,4.9,EUR,0,14-11-2023
133109,Miel de flores antigoteo Mielove frasco 500 g,azucar chocolates y caramelos,miel,Mielove,3.45,EUR,0,14-11-2023
222955,Miel de azahar Mielove frasco 350 g,azucar chocolates y caramelos,miel,Mielove,3.19,EUR,0,14-11-2023
222953,Miel de romero Mielove frasco 350 g,azucar chocolates y caramelos,miel,Mielove,3.49,EUR,0,14-11-2023
222956,Miel de eucalipto Mielove frasco 350 g,azucar chocolates y caramelos,miel,Mielove,3.19,EUR,0,14-11-2023
17255,Miel de flores antigoteo Granja san fancisco bote 350 g,azucar chocolates y caramelos,miel,Granja san fancisco,5.5,EUR,0,14-11-2023
222958,Miel de flores con jalea real Mielove frasco 250 g,azucar chocolates y caramelos,miel,Mielove,4.49,EUR,0,14-11-2023
262279,Miel de flores Helios tarrina 250 g,azucar chocolates y caramelos,miel,Helios,2.8,EUR,0,14-11-2023
222954,Miel de flores con propóleo Mielove frasco 250 g,azucar chocolates y caramelos,miel,Mielove,4.49,EUR,0,14-11-2023
222957,Polen de flores Mielove frasco 200 g,azucar chocolates y caramelos,miel,Mielove,4.99,EUR,0,14-11-2023
274320,Sirope de caña antigoteo Ramiflor frasco 500 g,azucar chocolates y caramelos,miel,Ramiflor,3.5,EUR,0,14-11-2023
,,azucar chocolates y caramelos,miel,,,,,14-11-2023
17384,Filete de merluza argentino sin piel Mari Marinera bolsa 400 g,congelados,pescado y marisco,Mari Marinera,3.19,EUR,0,14-11-2023
41098,Rabas empanadas Mari Marinera bolsa 400 g,congelados,pescado y marisco,Mari Marinera,2.89,EUR,0,14-11-2023
41097,Caprichos del mar Mari Marinera bolsa 400 g,congelados,pescado y marisco,Mari Marinera,1.79,EUR,0,14-11-2023
19199,Muslitos de mar Mari Marinera caja 250 g,congelados,pescado y marisco,Mari Marinera,1.39,EUR,0,14-11-2023
269059,Gambas peladas medianas 80/100 piezas Mari Marinera bolsa 350 g,congelados,pescado y marisco,Mari Marinera,4.79,EUR,0,14-11-2023
274390,Lomos de salmón Selección Mundial bolsa 250 g,congelados,pescado y marisco,Selección Mundial,6.19,EUR,0,14-11-2023
129357,Almeja del pacífico Mari Marinera bolsa 450 g,congelados,pescado y marisco,Mari Marinera,1.69,EUR,0,14-11-2023
271910,Varitas de merluza MSC Mari Marinera caja 300 g,congelados,pescado y marisco,Mari Marinera,2.09,EUR,0,14-11-2023
273563,Preparado para paellas y sopas Mari Marinera bolsa 685 g,congelados,pescado y marisco,Mari Marinera,4.09,EUR,0,14-11-2023
